"","area_id","cluster","f_beer","f_dairy","f_eggs","f_fats_oils","f_fish","f_fruit_veg","f_grains","f_meat_red","f_poultry","f_readymade","f_sauces","f_soft_drinks","f_spirits","f_sweets","f_tea_coffee","f_water","f_wine","representativeness_norm","transaction_days","num_transactions","man_day","population","male","female","age_0_17","age_18_64","age_65.","avg_age","area_sq_km","people_per_sq_km"
"11","E05000193","1",0.0118048597194389,0.113809911489646,0.0122797678690715,0.0343530811623246,0.0239113643954576,0.300734802939212,0.137701444555778,0.0549901887107549,0.0233790497661991,0.0509049348697395,0.016562291249165,0.0232652805611222,0.00306654976619906,0.142682239478958,0.00568011022044088,0.0295257181028724,0.0153484051436206,0.383458031735141,364,1404445,99190,15317,7772,7545,2980,10648,1689,36.3787295163185,1.48,10349.3243243243
"12","E05000194","1",0.0120000238891339,0.102015986949707,0.0114992052597047,0.0334345493186904,0.0236246471020348,0.285209810584763,0.13966355567576,0.0598320423247199,0.0251706153414312,0.0550917556039216,0.0187597956113955,0.0244761240903999,0.00293921665823437,0.153167741819891,0.00692187655972582,0.0284647562753769,0.0177282969351094,0.520560278207534,364,1709088,117920,14616,7152,7464,2916,8980,2720,40.9163929931691,2.52,5800
"13","E05000195","1",0.0107207282903961,0.100042762745622,0.0115656563048763,0.0336957292174699,0.0229397955931371,0.266415191054653,0.144926277683714,0.0679157832083701,0.0255928695586049,0.060686485235587,0.0207256147907465,0.027019389689719,0.00329334163866278,0.154595540000535,0.00589571992326176,0.0283370079878556,0.0156321070767885,0.641482081727803,364,3045672,167241,13980,6710,7270,3464,8519,1997,37.3934191688212,16.95,824.778761061947
"14","E05000200","1",0.0134168916465369,0.104666950851766,0.0119594562591768,0.0314537646631617,0.024217898924833,0.288178491924407,0.133210778509291,0.0586131767157675,0.0239169390107201,0.0568814237673471,0.0178937937131941,0.0232331186157028,0.00290796349800281,0.156145897472331,0.00581691374982239,0.0254069372740334,0.022079603403906,0.536223009726783,364,1466897,115172,13240,6569,6671,2751,7961,2528,41.0224320236209,3.3,4012.12121212121
"15","E05000202","1",0.0124657315249634,0.106738002714928,0.0113466571536872,0.0328474595994945,0.0232118959695811,0.276879674931774,0.137745570730754,0.0596470594216628,0.0231667036678637,0.0612542106514866,0.0188367162595688,0.0237276531129305,0.00279514386121896,0.157730171453944,0.0060964415016724,0.0230960906964303,0.0224148167480411,0.658957337773987,365,2546634,178237,13472,6612,6860,2699,8116,2657,41.5873663874829,5.1,2641.56862745098
"16","E05000207","1",0.014466028044291,0.104736354098721,0.0132025168219127,0.034275780151438,0.0215573901460469,0.264186210713507,0.146492391638273,0.0631209723338459,0.0260069738169076,0.0555299435424456,0.0181601348064071,0.0284921581417181,0.00377499379401221,0.155112638180353,0.00596810819576893,0.0281901267615343,0.0167272788128174,0.642806229139945,365,3604260,257615,15278,7415,7863,4296,9488,1494,33.7466945922117,2.87,5323.34494773519
"17","E05000209","1",0.0116900695158869,0.106081561370878,0.012732467166745,0.034963470661843,0.0233608353715727,0.314002420906091,0.136675591770736,0.0589681398765928,0.0233540223150312,0.0508208597623152,0.016443311963046,0.0193309124272422,0.00324755695147514,0.140673720451206,0.00569571526874102,0.0256897651993614,0.0162695790212363,0.413490700050434,364,1325413,80657,14121,7115,7006,2814,8998,2309,39.4580412169237,2.62,5389.69465648855
"18","E05000210","1",0.0135527348579261,0.102619055916302,0.0125233221984183,0.0327511979852054,0.0236662578886143,0.274420339999347,0.140936328531436,0.0659092379967774,0.0259800854838433,0.0572200769210771,0.0209121226754551,0.0235041848583963,0.00286919047010582,0.151459735914996,0.00559871049608176,0.0249846915661731,0.0210927262398449,0.790032068407987,365,5081458,294505,15112,7247,7865,3428,9277,2407,39.0277263117794,2.22,6807.20720720721
"19","E05000218","1",0.0211762174436545,0.0989657966661936,0.0103466114847387,0.0277000764550495,0.0182828287452673,0.262213350791333,0.150934628643632,0.0605803258724803,0.0219087209116006,0.0634393784708075,0.0187589559994323,0.0352128151481717,0.00394178428688498,0.154652083743459,0.00488717157520293,0.0255094332712231,0.0214898204908689,0.32062796329808,364,627892,63850,13049,6455,6594,2729,8053,2267,40.6503946663078,2.55,5117.25490196078
"20","E05000222","1",0.0173306767010785,0.102147904941514,0.0135784303566618,0.031248982298658,0.0246101648750189,0.292389814400881,0.139749712083039,0.0580310328595409,0.0224643323435108,0.0527979015368401,0.0170997510147408,0.0286016265457958,0.00339283123773207,0.143053133631958,0.00569675904680982,0.0308155525489163,0.0169913935773053,0.463365276603179,365,2402576,203522,19531,9584,9947,3850,14233,1448,32.5466693961656,2.55,7659.21568627451
