"","area_id","representativeness_norm","h_items","h_items_norm","h_items_weight","h_items_weight_norm","f_sweets_jan","f_sweets_feb","f_sweets_mar","f_sweets_apr","f_sweets_may","f_sweets_jun","f_sweets_jul","f_sweets_aug","f_sweets_sep","f_sweets_oct","f_sweets_nov","f_sweets_dec","f_sweets_weight_jan","f_sweets_weight_feb","f_sweets_weight_mar","f_sweets_weight_apr","f_sweets_weight_may","f_sweets_weight_jun","f_sweets_weight_jul","f_sweets_weight_aug","f_sweets_weight_sep","f_sweets_weight_oct","f_sweets_weight_nov","f_sweets_weight_dec"
"2644","E01003940",0.320838354124259,3.26598382853221,0.799024714199764,2.87219850117177,0.830251560891716,0.18335343787696,0.16344349245206,0.20072838146862,0.170696104370039,0.162355848434926,0.155905952603098,0.152467489163054,0.159912576268099,0.172431595250387,0.154467120181406,0.167125890736342,0.168277528477736,0.133001669505202,0.11218751626409,0.16815193244264,0.0971970204287418,0.107199274421241,0.101669928111365,0.106600733446047,0.106655168053843,0.119817333630347,0.11139074732965,0.124531517678233,0.136775643103644
"2645","E01003941",0.307906962053284,3.24932813857346,0.794949890622003,2.78755893551701,0.805785239546102,0.146613795262444,0.164173022064388,0.156645480623207,0.149753454678274,0.147740801632746,0.145622286541245,0.149660659957875,0.160825497618757,0.155156046042483,0.157234874626179,0.155819152900261,0.156598407281001,0.0926679096836647,0.103105609241176,0.0966692583629904,0.0932862526398692,0.092321736433207,0.0837597668081994,0.0858726490802879,0.0920601423595348,0.0975989083305593,0.100036009962484,0.105080646709843,0.115702811678625
"2646","E01003942",0.404592350809214,3.27341669031698,0.800843167864897,2.83013839892576,0.818093464741061,0.152027620106501,0.159432889721126,0.168316215375039,0.159928580538197,0.160969582867565,0.150881562561447,0.153065183652354,0.157931516422082,0.157408036989189,0.15948275862069,0.149976804294519,0.16631899419293,0.0958575070567486,0.0968623724358117,0.101743836713245,0.0900454009514671,0.094252561199401,0.0868446712403381,0.0884206483607959,0.0933581159512546,0.0949107436898174,0.105359007021168,0.0972049252862148,0.117007359253957
"2647","E01003943",0.43166030103292,3.27716173964379,0.801759396212961,2.83856113658404,0.820528181939373,0.143618793735422,0.157800321662749,0.163840859493033,0.159744056484086,0.152637075718016,0.141285034676449,0.14519508465938,0.158530090537902,0.16236962381343,0.158674070334848,0.155613190070396,0.178379888268156,0.0916821186602522,0.0945916250930997,0.0996148492210063,0.0911601951734935,0.0958478976157074,0.0842649244416818,0.0811548202790624,0.0933245323667872,0.100535758880678,0.100524051773906,0.108715106389586,0.135095264118555
"2648","E01003945",0.189376550693576,3.22675194248701,0.789426612010486,2.75751890309368,0.797101722791067,0.152618314197704,0.172032520325203,0.178816046966732,0.154800431499461,0.160799001248439,0.162109914388291,0.138856476079347,0.13294964028777,0.159815850049326,0.152010460934946,0.172699849170437,0.165749656121045,0.0924367802620789,0.109392479871739,0.111263869209331,0.088091603581531,0.100115414459411,0.107150063152768,0.0831864369439295,0.0792493351478941,0.097987291730092,0.0908836796893324,0.111729217861514,0.12378144068917
"2649","E01003946",0.193910383646225,3.09183697902973,0.756419593060802,2.65885086804271,0.768580264375931,0.148122866894198,0.172580306529498,0.165894511760513,0.161533991865195,0.142010832769127,0.151104155798991,0.14256880733945,0.154953793251666,0.149141307622778,0.151300236406619,0.142154935116005,0.167406212182332,0.0909735594920013,0.102771699502834,0.0944762475178916,0.101715708467312,0.0849095877714063,0.097307591008582,0.0842141062397931,0.103587831748136,0.109599036976653,0.100430862017138,0.0889536182783027,0.111087289306915
"2650","E01003947",0.181477686724296,3.33329494289335,0.8154924148188,2.7936753843461,0.807553289764565,0.17103620474407,0.142472515144716,0.178842401907652,0.156375131717597,0.153617653299385,0.16098572086596,0.173304628632939,0.169747520288548,0.163010967098704,0.151856594110115,0.142414860681115,0.185126996595968,0.121155023434676,0.0825751471925307,0.127924404320017,0.108378536237549,0.106218613717187,0.0936852382837619,0.11227682877551,0.102290683960555,0.12049241752877,0.122355360810094,0.105903846588244,0.139109860603891
"2651","E01003948",0.162186793449197,3.20939147905787,0.785179365221122,2.80722366178264,0.811469620228665,0.178393745557925,0.190216041718401,0.188725490196078,0.149129644063393,0.153964419064353,0.152949571836346,0.141829155060353,0.148774101404428,0.157007376185458,0.167566298990847,0.173275393807713,0.15882996172772,0.0970775521602699,0.10802023043826,0.101912042397133,0.0743862142323779,0.0910075704435165,0.0847042981108087,0.0894727824423208,0.0944231939862591,0.0947918812473995,0.111716501575497,0.119819151012349,0.114777154079794
"2652","E01003949",0.111346746687456,3.26678951967426,0.799221826974448,2.81727437143974,0.814374926870064,0.144864189822042,0.154596511971623,0.166242578456319,0.141843971631206,0.134319698288367,0.148502624266749,0.155791445519825,0.124399208368674,0.138324873096447,0.149101163200564,0.190529455630127,0.179478719894424,0.0816326966941867,0.112247500187632,0.102445377635687,0.0851184636440217,0.0837493788252422,0.0947068982064628,0.116282875484455,0.0886271503628422,0.0958847909860248,0.115126286350722,0.119961398734595,0.144133346811158
"2653","E01003950",0.142625409794281,3.2851612023228,0.803716469094037,2.79797088223508,0.808794967115792,0.148040638606676,0.149332254148118,0.174317617866005,0.156040859457555,0.168266346730654,0.152887139107612,0.1548178613396,0.187150014736222,0.172094508301405,0.1625,0.201128349788434,0.194171870353851,0.084786847135129,0.0844315376875754,0.111208243357919,0.0813853429599109,0.192548220108654,0.0881325274760201,0.0936274168847205,0.124565022509778,0.124837746293747,0.102158259071819,0.155058329053952,0.139473223025093
